DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S18-N12	P16N	18	B	20060221T05:36	-150.9953	-0.997	4682	23.6	25.7973	35.2903	TRACE METALS	2	12		0.02779921	25.9006020454721
P16N-S18-N11	P16N	18	B	20060221T05:35	-150.9953	-0.997	4682	38.2	25.6715	35.2952	TRACE METALS	2	11		0.0454124	27.2617855067849
P16N-S18-N08	P16N	18	B	20060221T05:33	-150.9953	-0.997	4682	103	21.0054	35.6019	TRACE METALS	2	8		0.03965163	11.2997874856251
P16N-S18-N06	P16N	18	B	20060221T05:31	-150.9953	-0.997	4682	154.1	15.67	35.2601	TRACE METALS	2	6		0.06309237	8.04237801076963
P16N-S18-N05	P16N	18	B	20060221T05:30	-150.9953	-0.997	4682	205.3	12.9024	34.9658	TRACE METALS	2	5		0.05996717	6.26938153922123
P16N-S18-N04	P16N	18	B	20060221T05:29	-150.9953	-0.997	4683	252.4	12.0611	34.8757	TRACE METALS	2	4		0.0636776	5.44512679659713
P16N-S18-N03	P16N	18	B	20060221T05:23	-150.9953	-0.997	4685	506.2	7.2386	34.5868	TRACE METALS	2	3		0.04442292	2.95475834843995
P16N-S18-N01	P16N	18	B	20060221T05:11	-150.9953	-0.997	4685	1009.3	4.6105	34.5506	TRACE METALS	2	1		0.07410562	1.96703584602771
